M15, stop 1.0xATR, TP 2.0R, horizon 96 bars

=== BTCUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_ny              BUY   21.9%    3405   30.8%   -3.4%   -0.095   -0.101

=== US SP 500
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  htf_aligned            SELL   40.9%    6363   34.0%   +2.0%   -0.027   +0.060
  volspike               SELL    8.1%    1255   33.7%   +1.7%   -0.036   +0.051
  discount                BUY   31.3%    4882   36.3%   +1.6%   +0.041   +0.049
  session_ny             SELL   21.9%    3405   33.7%   +1.6%   -0.038   +0.049
  session_asia            BUY   35.0%    5459   36.3%   +1.6%   +0.040   +0.049
  htf_aligned             BUY   54.5%    8488   35.6%   +0.9%   +0.020   +0.028
  displacement           SELL    4.8%     754   32.8%   +0.7%   -0.065   +0.022
  sweep_low               BUY    5.3%     826   35.4%   +0.7%   +0.013   +0.022
  premium                SELL   46.4%    7232   32.7%   +0.6%   -0.068   +0.019
  fvg                     BUY    6.9%    1071   35.1%   +0.5%   +0.006   +0.014
  fvg                    SELL    6.1%     948   32.4%   +0.4%   -0.076   +0.011
  _BASELINE               BUY  100.0%   15576   34.6%   +0.0%   -0.008   +0.000
  _BASELINE              SELL  100.0%   15576   32.0%   +0.0%   -0.087   +0.000
  bos                     BUY   12.6%    1962   34.6%   -0.1%   -0.011   -0.002
  bos                    SELL   10.9%    1701   31.9%   -0.2%   -0.091   -0.005
  session_asia           SELL   35.0%    5459   31.5%   -0.5%   -0.101   -0.014
  session_london          BUY   22.0%    3420   34.1%   -0.6%   -0.025   -0.017
  retest                  BUY   25.6%    3989   33.9%   -0.7%   -0.031   -0.022
  wick_reject            SELL   20.5%    3196   31.3%   -0.8%   -0.110   -0.023
  wick_reject             BUY   21.1%    3286   33.7%   -0.9%   -0.035   -0.026
  retest                 SELL   22.0%    3429   31.0%   -1.0%   -0.117   -0.031
  displacement            BUY    4.8%     754   33.6%   -1.1%   -0.041   -0.032
  sweep_high             SELL    7.0%    1089   30.8%   -1.3%   -0.125   -0.038
  session_london         SELL   22.0%    3420   30.6%   -1.5%   -0.131   -0.044
  session_ny              BUY   21.9%    3405   32.8%   -1.8%   -0.062   -0.054
  volspike                BUY    7.3%    1138   32.2%   -2.5%   -0.083   -0.074

=== Germany 40
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_ny             SELL   21.8%    3360   37.1%   +4.0%   -0.137   +0.120
  session_asia            BUY   34.7%    5348   37.2%   +3.5%   -0.134   +0.105
  htf_aligned            SELL   43.5%    6696   35.6%   +2.5%   -0.181   +0.076
  discount                BUY   34.8%    5362   35.4%   +1.7%   -0.189   +0.050
  htf_aligned             BUY   51.7%    7959   35.3%   +1.5%   -0.192   +0.046
  sweep_low               BUY    5.1%     789   34.7%   +1.0%   -0.209   +0.030
  volspike               SELL   10.3%    1589   34.0%   +0.9%   -0.229   +0.028
  displacement           SELL    4.8%     742   34.0%   +0.8%   -0.232   +0.025
  wick_reject             BUY   21.7%    3333   34.5%   +0.8%   -0.214   +0.024
  session_london         SELL   21.8%    3360   33.8%   +0.7%   -0.237   +0.020
  premium                SELL   43.4%    6682   33.5%   +0.4%   -0.244   +0.013
  wick_reject            SELL   21.4%    3295   33.3%   +0.2%   -0.251   +0.006
  bos                     BUY   11.7%    1808   33.9%   +0.2%   -0.233   +0.005
  sweep_high             SELL    6.6%    1012   33.2%   +0.1%   -0.254   +0.002
  _BASELINE               BUY  100.0%   15393   33.7%   +0.0%   -0.239   +0.000
  _BASELINE              SELL  100.0%   15393   33.1%   +0.0%   -0.257   +0.000
  fvg                     BUY    6.5%     996   33.6%   -0.1%   -0.241   -0.003
  retest                 SELL   22.6%    3474   32.8%   -0.4%   -0.268   -0.011
  fvg                    SELL    6.0%     919   32.6%   -0.5%   -0.271   -0.014
  volspike                BUY   10.0%    1532   32.6%   -1.2%   -0.273   -0.035
  session_london          BUY   21.8%    3360   32.5%   -1.2%   -0.275   -0.036
  bos                    SELL   11.5%    1776   31.6%   -1.5%   -0.303   -0.046
  displacement            BUY    5.0%     763   31.7%   -2.0%   -0.299   -0.060
  retest                  BUY   23.8%    3667   30.7%   -3.0%   -0.329   -0.091
  session_asia           SELL   34.7%    5348   29.7%   -3.4%   -0.360   -0.103
  session_ny              BUY   21.8%    3360   30.0%   -3.7%   -0.351   -0.112

=== Netherlands 25
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  displacement           SELL    5.2%     791   35.7%   +2.8%   -0.458   +0.084
  discount                BUY   34.0%    5201   34.2%   +2.2%   -0.502   +0.067
  session_london          BUY   21.8%    3347   34.1%   +2.1%   -0.506   +0.063
  sweep_low               BUY    5.0%     765   34.0%   +2.0%   -0.508   +0.060
